"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 14:21:12 GMT 2024","Fri Jun 07 14:21:13 GMT 2024","771","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 14:21:17 GMT 2024","Fri Jun 07 14:21:20 GMT 2024","2498","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 14:21:15 GMT 2024","Fri Jun 07 14:21:16 GMT 2024","673","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 14:21:22 GMT 2024","Fri Jun 07 14:21:22 GMT 2024","682","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 14:21:13 GMT 2024","Fri Jun 07 14:21:13 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 14:21:13 GMT 2024","Fri Jun 07 14:21:13 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 14:21:23 GMT 2024","Fri Jun 07 14:21:24 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 14:21:21 GMT 2024","Fri Jun 07 14:21:21 GMT 2024","41","tests","test_home","","","","test_successful_login",""
